# {FROM RC}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#    WHERE buildspec_path is not null
#    AND line_ending_lf is not null
#    AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITH TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is not null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITHOUT TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;


groupid,artifactid,version # Header
org.apache.camel.quarkus,camel-quarkus-jgroups-raft-deployment,2.13.3
org.apache.activemq.examples.failover,replicated-transaction-failover,2.25.0
org.apache.streampark,streampark-flink-connector-http_2.11,2.1.0
wtf.metio.yosql,javapoet-type-guesser,2022.8.4
org.apache.camel.quarkus,camel-quarkus-management-deployment,2.8.0
org.apache.servicecomb,inspector,2.7.8
org.apache.camel.quarkus,camel-quarkus-freemarker,1.7.0
org.sonatype.goodies.dropwizard,dropwizard-support-aws,2.0.0
org.apache.camel.quarkus,camel-quarkus-iec60870-deployment,2.7.0
org.apache.flink,flink-table-store-spark,0.2.0
org.apache.jena,jena-permissions,4.3.1
org.apache.linkis,linkis-jdbc-driver,1.3.2
org.finos.legend.engine,legend-engine-xt-relationalStore-memsql-execution,4.12.1
io.wcm,io.wcm.sling.models,1.6.0
org.apache.seatunnel,seatunnel-transform-flink-udf,2.1.2
org.apache.doris,flink-doris-connector-1.12_2.12,1.0.3
org.apache.directory.studio,org.apache.directory.studio.ldapbrowser.ui,2.0.0.v20210717-M17
org.apache.flume.flume-ng-sources,flume-taildir-source,1.10.1
org.apache.dubbo.extensions,dubbo-registry-polaris,1.0.0
org.apache.dubbo.extensions,dubbo-cluster-specify-address-dubbo3,1.0.2
org.glassfish.main.jdbc,jdbc-runtime,7.0.2
org.apache.syncope.core,syncope-core-starter,3.0.0-M2
org.apache.camel.quarkus,camel-quarkus-integration-test-coap,2.11.0
org.apache.camel.quarkus,camel-quarkus-lumberjack,2.2.1
io.dwpbank.movewp3,microservice-security-autoconfiguration,0.5.0
org.apache.bookkeeper,bookkeeper-tools-framework,4.16.1
org.quickperf,quick-sql-test-data,0.1
org.apache.camel.quarkus,camel-quarkus-jsh-dsl-deployment,2.16.0
org.apache.camel.quarkus,camel-quarkus-integration-test-console,3.0.0-M1
org.apache.dolphinscheduler,dolphinscheduler-alert-pagerduty,3.1.7
org.glassfish.jersey.examples,declarative-linking,3.0.9
org.apache.hugegraph,computer-k8s,1.0.0
wtf.metio.yosql.testing,yosql-testing-configs,2022.6.22
org.apache.camel.quarkus,camel-quarkus-support-commons-logging-deployment,2.4.0


# {NOT FROM RC WITHOUT TIMESTAMP PROPERTY}
io.github.geraldnguyen,echo,1.0.0
com.blibli.oss,blibli-backend-framework-aggregate-query,0.0.6
org.sonatype.nexus,nexus-guice-servlet,3.9.0-01
org.hswebframework.web,hsweb-commons-service-api,3.0.3
org.pipecraft.pipes,pipes-core,0.91
org.webjars.bowergithub.polymerelements,iron-iconset-svg,2.1.0
org.webjars.npm,ngx-markdown,6.3.0
com.zaubersoftware.commons.image,commons-image-api,3.52
org.webjars.bower,jquery-colorbox,1.6.4
io.airlift.airship,airship-shared,0.13
org.webjars.npm,github-com-bevacqua-fuzzysearch,1.0.2
org.dynamoframework,dynamo-functional-domain-frontend,2.7.2
eu.europa.ec.joinup.sat,jdplus-tramoseats-cli-plugin,3.0.1
org.webjars.npm,better-dom,4.0.0
org.webjars.bowergithub.advanced-rest-client,api-type-documentation,2.0.3
org.opencds.cqf,tooling-cli,2.4.0
org.wso2.carbon.mediation,org.wso2.carbon.rest.api.stub,4.6.101
com.github.skjolber.jackson,jackson-syntax-highlight,1.0.0
com.google.cloud.genomics,google-genomics-dataflow,v1beta2-0.6
com.indoqa,system-test-tools,1.0.0
de.codepfleger,flume-parquet-sink,2.0
org.uqbar-project,arena-examples,3.5-alpha-1
co.elastic.apm,elastic-apm-agent,0.6.2
org.apache.camel,camel-jacksonxml-starter,2.19.4
org.webjars,json-editor,0.7.13
org.webjars.npm,github-com-PillowPillow-ng2-webstorage,1.4.3
io.swagger.core.v3,swagger-models,2.0.6
org.pitest.quickbuilder,quickbuilder,1.2
com.pepperize,projen-awscdk-construct,0.0.260
org.ujmp,ujmp-jscience,0.3.0
cn.danielw,fast-object-pool,2.2.0
com.tencentcloudapi,tencentcloud-sdk-java-tts,3.1.444
org.apache.druid.integration-tests,druid-it-cases,25.0.0
org.webjars.bower,github-com-vpusher-game-card,1.0.6
org.smartrplace.logging,fendodb-rest,0.1.0
org.apache.flink,flink-ml-api,1.12.3
com.puresoltechnologies.commons,osgi,0.6.0
com.harium.propan,propan-jogl,1.0.0
tec.uom.lib,uom-lib-common,1.0.2
org.microbean,microbean-jndi,0.0.1
cloud.elit,elit-ddr,0.0.3
com.hortonworks.registries,schema-registry-ranger-authorizer,0.9.0
org.mobicents.resources,restcomm-slee-ra-tftp-server-ratype,2.8.12
com.github.jinahya,iata-ndc-bind-javax,0.0.1
de.flapdoodle.wicket6,de.flapdoodle.wicket--examples,6.7.0
io.helidon.reactive.media,helidon-reactive-media-jsonp,4.0.0-ALPHA1
org.ops4j.pax.tipi,org.ops4j.pax.tipi.hamcrest.core,1.3.0.1
org.jboss.arquillian.spock,arquillian-spock-example-groovy-2.x,1.0.0.Beta3
com.github.shiver-me-timbers,smt-building,1.0
com.jahnelgroup.flogger,flogger-core,1.4.0
com.oracle.oci.sdk,oci-java-sdk-identitydomains,2.57.0
org.webjars.bowergithub.wenzhixin,bootstrap-table,1.18.0
de.mhus.app.vault,vault-manager,7.3.0
ca.uhn.hapi.fhir,hapi-fhir-docs,6.1.0
io.quarkus,quarkus-amazon-lambda-http-deployment,2.10.4.Final
org.webjars.npm,backbone.typeahead.js,0.3.0
org.jboss.arquillian.graphene,graphene-webdriver-drone,2.0.0.Alpha1
io.helidon.security,helidon-security-provider-jwt,0.10.3
info.tomfi.archetypes,java-full-mod,1.1.9
org.apache.optiq,optiq-avatica,0.9.0-incubating
com.premiumminds,billy-portugal,3.2.0
cn.itlym,shoulder-starter-operation-log,0.5
org.webjars.bower,angular-video-bg,0.3.0
tech.cassandre.trading.bot,cassandre-trading-bot-spring-boot-starter-basic-archetype,2.1.1
org.openehealth.ipf.platform-camel,ipf-platform-camel-ihe-xacml20,3.7.2
net.enilink.platform,net.enilink.platform.workbench.karaf.feature,1.5.3
org.wso2.appserver,org.wso2.appserver.integration.tests.reports,5.3.0-beta1
com.addicticks.oss,httpsupload,1.0.2
com.jashmore,in-memory-spring-cloud-schema-registry,3.1.1
io.quarkus,quarkus-tika,2.2.5.Final
io.semla,semla-maven-plugin,1.1.0
com.github.mrzhqiang.helper.database,db-redis,2018.1.1
org.hjug.refactorfirst.changepronenessranker,change-proneness-ranker,0.1.1
ir.cafebabe.math.utils,bigdecimal-utils,1.3
io.github.open-accelerators,issued-device-tracking-client,1.0.2
org.webjars.npm,is-subset,0.1.1
org.linqs,psl-core,2.2.1
io.github.magrifle,jwt-ssors,1.0.6
com.daedafusion,service-framework-core,1.0.1
ch.dvbern.oss.cdifixtures,cdi-fixtures,1.0.6
org.seedstack.seed,seed-cli,3.4.0
cn.sexycode,myjpa-spring-boot-starter,0.0.2
de.fraunhofer.iosb.ilt.FROST-Server,FROST-Server.MQTT.Moquette,2.0.1
com.ibm.sbt,bss.provisioning.sample.app,1.1.11.20151208-1200
org.wso2.carbon.devicemgt-plugins,org.wso2.carbon.device.mgt.input.adapter.extension,4.0.49
org.bedework.caleng,bw-calendar-engine-impl,3.12.3
pl.tlinkowski.unij,pl.tlinkowski.unij.service.collect.guava,0.1.3
org.webjars,paperjs,0.9.22
com.github.pkoli,xls2pojo-maven-plugin,1.0
com.github.tohodog,qsrpc,1.1.1
com.seoduct,logback-slack-appender,1.0.0
software.amazon.awssdk,resource-groups,2.0.0-preview-8
org.finos.legend.engine,legend-engine-test-runner-mapping-api,4.9.0
group.rxcloud,vrml-switch,1.0.5
com.tencentcloudapi,tencentcloud-sdk-java-tem,3.1.720
org.nmdp.gl,gl-client,1.0
io.github.jnan88,monitor-jvm,0.0.1
com.simplaex,java-druid-client,1.2.0
com.github.acodrx,gwtchartjs,0.5.0-Beta1
org.webjars.npm,stop-iteration-iterator,1.0.0





